type, threadCount, insertCount, time
ConcurrentHashTable,48,130000,0.106534
ConcurrentQueue,48,140000,1.36748
LockCoupling,48,140000,1.87177
ConcurrentList,48,140000,0.97802
ConcurrentHashTable,48,140000,0.114574
ConcurrentQueue,48,150000,1.46116
LockCoupling,48,150000,2.00221
ConcurrentList,48,150000,1.04144
ConcurrentHashTable,48,150000,0.122205
ConcurrentQueue,48,160000,1.55594
LockCoupling,48,160000,2.13624
ConcurrentList,48,160000,1.11194
ConcurrentHashTable,48,160000,0.130302
ConcurrentQueue,48,170000,1.65399
LockCoupling,48,170000,2.25855
ConcurrentList,48,170000,1.18147
ConcurrentHashTable,48,170000,0.141543
ConcurrentQueue,48,180000,1.75034
LockCoupling,48,180000,2.3965
ConcurrentList,48,180000,1.25046
ConcurrentHashTable,48,180000,0.148044
ConcurrentQueue,48,190000,1.84655
LockCoupling,48,190000,2.53021
ConcurrentList,48,190000,1.3188
ConcurrentHashTable,48,190000,0.153562
ConcurrentQueue,48,200000,1.95229
LockCoupling,48,200000,2.67164
ConcurrentList,48,200000,1.39111
ConcurrentHashTable,48,200000,0.161999
ConcurrentQueue,48,210000,2.04883
LockCoupling,48,210000,2.79511
ConcurrentList,48,210000,1.46541
ConcurrentHashTable,48,210000,0.169042
ConcurrentQueue,48,220000,2.14361
LockCoupling,48,220000,2.92432
ConcurrentList,48,220000,1.53431
ConcurrentHashTable,48,220000,0.179036
ConcurrentQueue,48,230000,2.23876
LockCoupling,48,230000,3.05134
ConcurrentList,48,230000,1.60002
ConcurrentHashTable,48,230000,0.186864
ConcurrentQueue,48,240000,2.34166
LockCoupling,48,240000,3.19321
ConcurrentList,48,240000,1.67374
ConcurrentHashTable,48,240000,0.194325
ConcurrentQueue,48,250000,2.44547
LockCoupling,48,250000,3.72883
ConcurrentList,48,250000,1.732
ConcurrentHashTable,48,250000,0.136897
ConcurrentQueue,48,260000,2.45283
LockCoupling,48,260000,3.45752
ConcurrentList,48,260000,1.79131
ConcurrentHashTable,48,260000,0.187383
ConcurrentQueue,48,270000,2.6249
LockCoupling,48,270000,3.5957
ConcurrentList,48,270000,1.86562
ConcurrentHashTable,48,270000,0.223009
ConcurrentQueue,48,280000,2.71187
LockCoupling,48,280000,3.72383
ConcurrentList,48,280000,1.93823
ConcurrentHashTable,48,280000,0.215121
ConcurrentQueue,48,290000,2.82489
LockCoupling,48,290000,3.86382
ConcurrentList,48,290000,2.00184
ConcurrentHashTable,48,290000,0.226817
ConcurrentQueue,48,300000,2.90994
LockCoupling,48,300000,3.99753
ConcurrentList,48,300000,2.07964
ConcurrentHashTable,48,300000,0.237441
ConcurrentQueue,48,310000,3.0183
LockCoupling,48,310000,4.13725
ConcurrentList,48,310000,2.14333
ConcurrentHashTable,48,310000,0.242293
ConcurrentQueue,48,320000,3.1107
LockCoupling,48,320000,4.31576
ConcurrentList,48,320000,2.25007
ConcurrentHashTable,48,320000,0.241517
ConcurrentQueue,48,330000,3.20521
LockCoupling,48,330000,5.02396
ConcurrentList,48,330000,2.29047
ConcurrentHashTable,48,330000,0.180961
ConcurrentQueue,48,340000,3.20963
LockCoupling,48,340000,4.97218
ConcurrentList,48,340000,2.35527
ConcurrentHashTable,48,340000,0.185354
ConcurrentQueue,48,350000,3.30464
LockCoupling,48,350000,5.12486
ConcurrentList,48,350000,2.4305
ConcurrentHashTable,48,350000,0.192483
ConcurrentQueue,48,360000,3.39659
LockCoupling,48,360000,5.23414
ConcurrentList,48,360000,2.49986
ConcurrentHashTable,48,360000,0.200771
ConcurrentQueue,48,370000,3.48625
LockCoupling,48,370000,5.29139
ConcurrentList,48,370000,2.5734
ConcurrentHashTable,48,370000,0.206642
ConcurrentQueue,48,380000,3.5894
LockCoupling,48,380000,5.50487
ConcurrentList,48,380000,2.63014
ConcurrentHashTable,48,380000,0.20687
ConcurrentQueue,48,390000,3.69156
LockCoupling,48,390000,5.62145
ConcurrentList,48,390000,2.70293
ConcurrentHashTable,48,390000,0.21484
ConcurrentQueue,48,400000,3.78189
LockCoupling,48,400000,5.71415
ConcurrentList,48,400000,2.77148
ConcurrentHashTable,48,400000,0.215522
ConcurrentQueue,48,410000,3.88694
LockCoupling,48,410000,5.86729
ConcurrentList,48,410000,2.83681
ConcurrentHashTable,48,410000,0.225713
ConcurrentQueue,48,420000,3.9636
LockCoupling,48,420000,6.08832
ConcurrentList,48,420000,2.93226
ConcurrentHashTable,48,420000,0.22957
ConcurrentQueue,48,430000,4.08331
LockCoupling,48,430000,6.17436
ConcurrentList,48,430000,2.99163
ConcurrentHashTable,48,430000,0.241158
ConcurrentQueue,48,440000,4.21071
LockCoupling,48,440000,6.28712
ConcurrentList,48,440000,3.10501
ConcurrentHashTable,48,440000,0.244323
ConcurrentQueue,48,450000,4.28028
LockCoupling,48,450000,6.48844
ConcurrentList,48,450000,3.19297
ConcurrentHashTable,48,450000,0.251967
ConcurrentQueue,48,460000,4.38772
LockCoupling,48,460000,6.73524
ConcurrentList,48,460000,3.17656
ConcurrentHashTable,48,460000,0.249388
ConcurrentQueue,48,470000,4.45207
LockCoupling,48,470000,6.85109
ConcurrentList,48,470000,3.25324
ConcurrentHashTable,48,470000,0.254489
ConcurrentQueue,48,480000,4.52134
LockCoupling,48,480000,6.99075
ConcurrentList,48,480000,3.42743
ConcurrentHashTable,48,480000,0.261087
ConcurrentQueue,12,10000,0.0240049
LockCoupling,12,10000,0.036586
ConcurrentList,12,10000,0.0177369
ConcurrentHashTable,12,10000,0.00272894
ConcurrentQueue,12,20000,0.04814
LockCoupling,12,20000,0.0702379
ConcurrentList,12,20000,0.0349569
ConcurrentHashTable,12,20000,0.00473404
