type,threadCount,insertCount,time,treshold
ConcurrentQueue,48,35000000,6.14743,0
ConcurrentQueue,48,36000000,6.33527,0
ConcurrentQueue,48,37000000,6.48223,0
ConcurrentQueue,48,38000000,6.67108,0
ConcurrentQueue,48,39000000,6.79042,0
ConcurrentQueue,48,40000000,6.97781,0
ConcurrentQueue,48,41000000,7.17627,0
ConcurrentQueue,48,42000000,7.36963,0
ConcurrentQueue,48,43000000,7.5419,0
ConcurrentQueue,48,44000000,7.70121,0
ConcurrentQueue,48,45000000,7.79712,0
ConcurrentQueue,48,46000000,8.0109,0
ConcurrentQueue,48,47000000,8.23033,0
ConcurrentQueue,48,48000000,8.44151,0
ConcurrentHashTable,48,1000000,0.0127618,0
ConcurrentHashTable,48,2000000,0.030267,0
ConcurrentHashTable,48,3000000,0.0436749,0
ConcurrentHashTable,48,4000000,0.0617111,0
ConcurrentHashTable,48,5000000,0.0844109,0
ConcurrentHashTable,48,6000000,0.095407,0
ConcurrentHashTable,48,7000000,0.111599,0
ConcurrentHashTable,48,8000000,0.128196,0
ConcurrentHashTable,48,9000000,0.141685,0
ConcurrentHashTable,48,10000000,0.160928,0
ConcurrentHashTable,48,11000000,0.187184,0
ConcurrentHashTable,48,12000000,0.194818,0
ConcurrentHashTable,48,13000000,0.209503,0
ConcurrentHashTable,48,14000000,0.225805,0
ConcurrentHashTable,48,15000000,0.24907,0
ConcurrentHashTable,48,16000000,0.260421,0
ConcurrentHashTable,48,17000000,0.273919,0
ConcurrentHashTable,48,18000000,0.296372,0
ConcurrentHashTable,48,19000000,0.324808,0
ConcurrentHashTable,48,20000000,0.328431,0
ConcurrentHashTable,48,21000000,0.343323,0
ConcurrentHashTable,48,22000000,0.364899,0
ConcurrentHashTable,48,23000000,0.381218,0
ConcurrentHashTable,48,24000000,0.392778,0
ConcurrentHashTable,48,25000000,0.409997,0
ConcurrentHashTable,48,26000000,0.426618,0
ConcurrentHashTable,48,27000000,0.448332,0
ConcurrentHashTable,48,28000000,0.472823,0
ConcurrentHashTable,48,29000000,0.474431,0
